ID,NodeType,Character,Dialogue,Reference
0,dialogue,피카츄,안녕 꼬북이야?,
,dialogue,꼬부기,반가워 피카츄야,
,dialogue,피카츄,잘지냈어?,
,option,꼬부기,당연하지? 나 지금 태초마을 일짱된 거 몰라?/아니..나 지금 친구가 없어...,1/2
1,dialogue,피카츄,어... 소문은 들었지.. 저번에 나한테 졌으면서 어떻게 일짱이 된거야,
,dialogue,꼬부기,어쩌다보니까 그렇게 됐어 지금 싸우면 내가 이길걸?,
,dialogue,피카츄,그럼 꼬북아 맞짱뜨자,
,option,꼬부기,그래 피카츄야 맞장뜨자/아니? 난 평화주의자야.,3/4
2,dialogue,피카츄,저번에 나한테 지더니 아무도 안다가오는구나?,
,dialogue,꼬부기,나대지마 피카츄야,
,dialogue,피카츄,넌 뒤졌다(퍼퍼퍼퍼퍽퍼어엉퍽),
3,dialogue,피카츄,그래 들어와 ,
,dialogue,꼬부기,이야아아압(물대포 발사),
4,dialogue,피카츄,거짓말 치지마 넌 한 대 맞아야겠다.,
,dialogue,꼬부기,(도망간다),
